No. ,Jenis Pertanyaan,Pertanyaan,Jawaban,Format
35,Pelaksanaan Hukuman,Bagaimana ketentuan mengenai hukuman penjara diatur dalam KUHP ini?,"Hukuman penjara atau pidana penjara diatur dalam KUHP baru (UU no. 1/2023), tepatnya dijelaskan pada Pasal 68 hingga Pasal 70.

Pasal 68:
(1) Pidana penjara dijatuhkan untuk seumur hidup atau untuk waktu tertentu.
(2) Pidana penjara untuk waktu tertentu dijatuhkan paling lama 15 (lima belas) tahun berturut turut atau paling singkat 1 (satu) Hari, kecuali ditentukan minimum khusus. 
(3) Dalam hal terdapat pilihan antara pidana mati dan pidana penjara seumur hidup atau terdapat pemberatan pidana atas Tindak Pidana yang dijatuhi pidana penjara 15 (lima belas) tahun, pidana penjara untuk waktu tertentu dapat dijatuhkan untuk waktu 20 (dua puluh) tahun berturut turut.
(4) Pidana penjara untuk waktu tertentu tidak boleh dijatuhkan lebih dari 20 (dua puluh) tahun.

Pasal 69:
(1) Jika narapidana yang menjalani pidana penjara seumur hidup telah menjalani pidana penjara paling singkat 15 (lima belas) tahun, pidana penjara seumur hidup dapat diubah menjadi pidana penjara 20 (dua puluh) tahun dengan Keputusan Presiden setelah mendapatkan pertimbangan Mahkamah Agung.
(2) Ketentuan mengenai tata cara perubahan pidana penjara seumur hidup menjadi pidana penjara 20 (dua puluh) tahun sebagaimana dimaksud pada ayat (1) diatur dengan Peraturan Pemerintah.

Pasal 70:
(1) Dengan tetap mempertimbangkan ketentuan sebagaimana dimaksud dalam Pasal 51 sampai dengan Pasal 54, pidana penjara sedapat mungkin tidak dijatuhkan jika ditemukan keadaan:
       a. Terdakwa adalah Anak;
       b. Terdakwa berumur di atas 75 (tujuh puluh lima) tahun;
       c. Terdakwa baru pertama kali melakukan Tindak Pidana;
       d. Terugian dan penderitaan Korban tidak terlalu besar;
       e. Terdakwa telah membayar ganti rugi kepada Korban;
       f.  Terdakwa tidak menyadari bahwa Tindak Pidana yang dilakukan akan menimbulkan kerugian yang besar;
       g. Tindak Pidana terjadi karena hasutan yang sangat kuat dari orang lain;
       h. Korban Tindak Pidana mendorong atau menggerakkan terjadinya Tindak Pidana tersebut;
       i.  Tindak Pidana tersebut merupakan akibat dari suatu keadaan yang tidak mungkin terulang lagi;
       j.  Kepribadian dan perilaku terdakwa meyakinkan bahwa ia tidak akan melakukan Tindak Pidana yang lain;
       k. Pidana penjara akan menimbulkan penderitaan yang besar bagi terdakwa atau keluarganya;
       l. Pembinaan di luar lemb""ga pemasyarakatan diperkirakan akan berhasil untuk diri terdakwa;
       m. Penjatuhan pidana yang lebih ringan tidak akan mengurangi sifat berat Tindak Pidana yang dilakukan terdakwa;
       n. Tindak Pidana terjadi di kalangan keluarga; dan/ atau
       o. Tindak Pidana terjadi karena kealpaan.
(2) Ketentuan sebagaimana dimaksud pada ayat (1) tidak berlaku bagi:
       a. Tindak Pidana yang diancam dengan pidana penjara 5 (lima) tahun atau lebih;
       b. Tindak Pidana yang diancam dengan pidana minimum khusus;
       c. Tindak Pidana tertentu yang sangat membahayakan atau merugikan masyarakat; atau
       d. Tindak Pidana yang merugikan keuangan atau perekonomian negara.","'Bagaimana ketentuan mengenai hukuman penjara diatur dalam KUHP ini?',"
36,Pelaksanaan Hukuman,Bagaimana ketentuan mengenai hukuman denda diatur dalam KUHP ini?,"Hukuman denda atau pidana denda diatur dalam KUHP baru (UU no. 1/2023), tepatnya dijelaskan pada Pasal 71 hingga Pasal 72.

Pasal 71:
(1) Jika seseorang melakukan Tindak Pidana yang hanya diancam dengan pidana penjara di bawah 5 (lima) tahun, sedangkan hakim berpendapat tidak perlu menjatuhkan pidana penjara setelah mempertimbangkan tujuan pemidanaan dan pedoman pemidanaan sebagaimana dimaksud dalam Pasal 51 sampai dengan Pasal 54, orang tersebut dapat dijatuhi pidana denda.
(2) Pidana denda sebagaimana dimaksud pada ayat (1) hanya dapat dijatuhkan jika:
      a. Tanpa Korban;
      b. Korban tidak mempermasalahkan; atau
      c. Bukan pengulangan Tindak Pidana.
(3) Pidana denda yang dapat dijatuhkan berdasarkan ketentuan sebagaimana dimaksud pada ayat (1) adalah pidana denda paling banyak kategori V dan pidana denda paling sedikit kategori III.
(4) Ketentuan sebagaimana dimaksud pada ayat (2) huruf c tidak berlaku bagi orang yang pernah dijatuhi pidana penjara untuk Tindak Pidana yang dilakukan
 sebelum berumur 18 (delapan belas) tahun.

Pasal 72:
(1) Narapidana yang telah menjalani paling singkat 2/3 (dua per tiga) dari pidana penjara yang dijatuhkan dengan ketentuan 213 ldua per tiga) tersebut tidak kurang dari 9 (sembilan) Bulan dapat diberi pembebasan bersyarat.
(2) Narapidana yang menjalani beberapa pidana penjara berturut turut rlianggap jumlah pidananya sebagai 1 (satu) pidana.
(3) Dalam memberikan pembebasan bersyarat sebagaimana dimaksud pada ayat (1), ditentukan masa percobaan dan syarat yang harus dipenuhi selama masa percobaan.
(4) Masa percobaan sebagaimana dimaksud pada ayat (3) sama dengan sisa waktu pidana penjara yang belum dijalani ditambah dengan 1 (satu) tahun.
(5) Narapidana sebagaimana dimaksud pada ayat (1) yang ditahan sebagai tersangka atau terdakwa dalam perkara lain tidak diperhitungkan waktu penahanannya sebagai masa percobaan.","'Bagaimana ketentuan mengenai hukuman denda diatur dalam KUHP ini?',"
37,Pelaksanaan Hukuman,Apa yang diatur mengenai kerja sosial sebagai bentuk hukuman dalam KUHP ini?,"Hukum Pidana KUHP baru (UU NO. 1/2023) mengatur hukuman kerja sosial atau pidana kerja sosial dengan ketentuan tertentu melalui Pasal 85.

Pasal 85:
(1) Pidana kerja sosial dapat dijatuhkan kepada terdakwa yang melakukan Tindak Pidana yang diancam dengan pidana penjara kurang dari 5 (lima) tahun dan hakim menjatuhkan pidana penjara paling lama 6 (enam) Bulan atau pidana denda paling banyak kategori II.
(2) Dalam menjatuhkan pidana kerja sosial sebagaimana dimaksud pada ayat (1) hakim wajib mempertimbangkan:
      a. Pengakuan terdakwa terhadap Tindak Pidana yang dilakukan;
      b. Kemampuan kerja terdakwa;
      c. Persetqjuan terdakwa sesudah dijelaskan mengenai tujuan dan segala hal yang berhubungan dengan pidana kerja sosial;
      d. Riwayat sosial terdakwa;
      e. Pelindungan keselamatan kerja terdalwa;
      f.  Agama, kepercayaan, dan keyakinan politik terdakwa; dan
      g. Kemampuan terdakwa membayar pidana denda.
(3) Pelaksanaan pidana kerja sosial tidak boleh dikomersialkan.
(4) Pidana kerja sosial dijatuhkan paling singkat 8 (delapan) jam dan paling lama 240 (d:ua ratus empat puluh) jam.
(5) Pidana kerja sosial dilaksanakan paling lama 8 (delapan) jam dalam 1 (satu) Hari dan dapat diangsur dalam waktu paling lama 6 (enam) Bulan dengan memperhatikan kegiatan terpidana dalam menjalankan mata pencahariannya dan/ atau kegiatan lain yang bermanfaat.
(6) Pelaksanaan pidana kerja sosial sebagaimana dimaksud pada ayat (5) dimuat dalam putusan pengadilan.
(7) Putusan pengadilan sebagaimana dimaksud pada ayat (6) juga memuat perintah jika terpidana tanpa alasan yang sah tidak melaksanakan seluruh atau sebagian pidana kerja sosial, terpidana wajib:
      a. Mengulangi seluruh atau sebagian pidana kerja sosial tersebut;
      b. Menjalani seluruh atau sebagian pidana penjara yang diganti dengan pidana kerja sosial tersebut; atau
      c. Membayar seluruh atau sebagran pidana denda yang diganti dengan pidana keda sosial atau menjalani pidana penjara sebagai pengganti pidana denda yang tidak dibayar.
(8) Pengawasan terhadap pelaksanaan pidana kerja sosial dilakukan oleh jaksa dan pembimbingan dilakukan oleh pembimbing kemasyarakatan.
(9) Putusan pengadilan mengenai pidana kerja sosial juga harus memuat:
      a. lama pidana penjara atau besarnya denda yang sesungguhnya dijatuhkan oleh hakim;
      b. lama pidana kerja sosial harus dijalani, dengan mencantumkan jumlah jam per Hari dan jangka waktu penyelesaian pidana kerja sosial; dan
      c. sanksi jika terpidana tidak menjalani pidana kerja sosial yang dijatuhkan.","'Apa yang diatur mengenai kerja sosial sebagai bentuk hukuman dalam KUHP ini?',"
38,Pelaksanaan Hukuman,Bagaimana KUHP ini mengatur hukuman pengawasan?,"Hukum Pidana KUHP baru (UU NO. 1/2023) mengatur hukuman pengawasan atau pidana pengawasan dengan ketentuan tertentu melalui Pasal 75 hingga Pasal 77.

Pasal 75:
Pasal ini mengatur bahwa terdakwa yang melakukan tindak pidana dengan ancaman pidana penjara maksimal lima tahun dapat dijatuhi pidana pengawasan.

Pasal 76:
(1) Pidana pengawasan dijatuhkan palinglama sama dengan pidana penjara yang diancamkan, namun tidak lebih dari tiga tahun.
(2) Dalam putusan pidana pengawasan ditetapkan syarat umum, yaitu terpidana tidak akan melakukan tindak pidana lagi.
(3) Selain syarat umum, dapat ditetapkan syarat khusus seperti mengganti kerugian yang timbul akibat tindak pidana atau melakukan/tidak melakukan sesuatu tanpa mengurangi kebebasan beragama, berkepercayaan, dan berpolitik.
(4) Jika terpidana melanggar syarat umum, maka harus menjalani pidana penjara yang lamanya tidak lebih dari ancaman pidana penjara bagi tindak pidana itu.
(5) Jika terpidana melanggar syarat khusus tanpa alasan yang sah, jaksa dapat mengusulkan kepada hakim agar terpidana menjalani pidana penjara atau memperpanjang masa pengawasan.

Pasal 77:
(1) Jika terpidana selama menjalani pidana pengawasan melakukan tindak pidana dan dijatuhi pidana yang bukan pidana mati atau pidana penjara, maka pidana pengawasan tetap dilaksanakan.
(2) Jika terpidana dijatuhi pidana penjara, pidana pengawasan ditunda dan dilaksanakan kembali setelah terpidana selesai menjalani pidana penjara.","'Bagaimana KUHP ini mengatur hukuman pengawasan?',"
39,Rehabilitasi,Bagaimana KUHP ini mengatur mengenai rehabilitasi bagi narapidana?,"Rehabilitasi narapidana diatur dalam KUHP (UU no. 1/2023), sebagai berikut:

Pasal 103:
Menjelaskan bahwa hakim dapat mengenakan tindakan rahabilitasi bersama-sama dengan pidana pokok yang dijatuhkan kepada terdakwa.

Pasal 105:
- Dijelaskan bahwa rehabilitasi dikenakan kepada terdakwa yang kecanduan alkohol, narkotika, psikotropika, dan zat adiktif lainnya, serta kepada terdakwa yang menyandang disabilitas mental dan/atau disabilitas intelektual.
   a. Rehabilitasi ini terdiri atas:
   b. Rehabilitasi medis;
   c. Rehabilitasi sosial; dan
   d. Rehabilitasi psikososialâ€‹","'Bagaimana KUHP ini mengatur mengenai rehabilitasi bagi narapidana?',"
40,Rehabilitasi,Apa yang dimaksud dengan penyidikan?,"Berdasarkan Pasal 1 butir 2 KUHAP (UU no. 8/1981), penyidikan merupakan serangkaian tindakan penyidik dalam hal dan menurut cara yang diatur dalam undang-undang ini untuk mencari serta mengumpulkan bukti yang dengan bukti itu membuat terang tentang tindak pidana yang terjadi dan guna menemukan tersangkanya. ","'Apa yang dimaksud dengan penyidikan?',"
41,Penghapusan Pidana,Apa yang dimaksud dengan penyelidikan?,"Penyelidikan merupakan serangkaian tindakan penyelidik untuk mencari dan menemukan suatu peristiwa yang diduga sebagai tindak pidana guna menentukan dapat atau tidaknya dilakukan penyidikan menurut cara yang diatur dalam KUHAP (UU no. 8/1981)i. ","'Apa yang dimaksud dengan penyelidikan?',"
42,Penghapusan Pidana,"Bagaimana ketentuan mengenai penghapusan pidana diatur dalam KUHP ini?

Apa saja kondisi yang dapat menyebabkan penghapusan pidana menurut KUHP ini?","Dalam KUHAP ( UU no. 1/2023) terdapat beberapa kondisi yang dapat menentukan penghapusan pidana. Kondisi ini merliputi alasan pembenar, alasan pemaaf, serta ketentuan lain seperti daluwarsa penuntutan dan pemberian pengampunan. Berikut penjelasan selengkapnya:

1. Alasan Pembenar
    a. Keadaan Darurrat atau Daya Paksa (Overmatch)
         - Pasal 42: Seseorang tidak dapat dipidana jika melakukan perbuatan karena adanya daya paksa atau keadaan darurat yang tidak dapat dihindari.
     b. Pembelaan Terpaksa (Noodweer)
          - Pasal 34: Seseorang tidak dapat dipidana jika melakukan perbuatan pidana untuk mempertahankan diri, kehormatan, atau harta benda dari serangan yang melawan hukum.
     c. Pelaksanaan Perintah Jabatan yang Sah
          - Pasal 44: Seseorang tidak dapat dipidana jika melakukan perbuatan pidana atas perintah jabatan yang sah dari penguasa yang berwenang.

2. Alasan Pemaaf
    a. Pembelaan Terpaksa yang Melampaui Batas (Noodweer Excess)
         - Pasal 43: Seseorang yang melakukan pembelaan diri melampaui batas yang disebabkan oleh keguncangan jiwa yang hebat karena serangan atau ancaman serangan  seketika yang melawan hukum, tidak dipidana.
     b. Gangguan JIwa atau Perkembangan Jiwa yang Terganggu
          - Pasal 38:  Setiap Orang yang pada waktu melakukan Tindak Pidana menyandang disabilitas mental dan/atau disabilitas intelektual dapat dikurangi pidananya dan/atau dikenai tindakan.

3. Kondisi Lain:
     Pasal 140: 
     Kewenangan pelaksanaan pidana dinyatakan gugur, jika:
     a. Terpidana meninggal dunia;
     b. Kedaluwarsa;
     c. Terpidana mendapat grasi atau amnesti; atau
     d. Penyerahan untuk pelaksanaan pidana ke negara lain.","'Bagaimana ketentuan mengenai penghapusan pidana diatur dalam KUHP ini?

Apa saja kondisi yang dapat menyebabkan penghapusan pidana menurut KUHP ini?',"
43,Grasi dan Amnesti,Bagaimana KUHP ini mengatur mengenai grasi?,"Dalam KUHP (UU no. 1/2023), tepatnya pada Pasal 62 ayat (1)  hanya menjelaskan bahwa permohonan grasi tidak menunda pelaksanaan putusan pemidanaan bagi terpidana, kecuali dalam hal putusan pidana mati.

Pidana mati dapat dilaksanakan setelah permohonan grasi bagi terpidana ditolak presiden sebagaimana yang dijelaskan dalam Pasal 99 ayat (1).","'Bagaimana KUHP ini mengatur mengenai grasi?',"
44,Grasi dan Amnesti,Apa perbedaan penyelidikan dan penyidikan?,"Penyelidikan berfungsi sebagai tahap awal untuk mengidentifikasi apakah ada indikasi tindak pidana, sedangkan penyidikan adalah tahap yang lebih mendalam dengan tujuan mengumpulkan bukti yang cukup untuk menuntut sesorang atas tindak pidana yang diduga dilakukan.","'Apa perbedaan penyelidikan dan penyidikan?',"
45,Peradilan Pidana Khusus,Bagaimana KUHP mengatur mengenai pidana khusus?,"Dalam KUHP (UU no. 1/2023) pidana khusus atau pidana yang bersifat khusus sebagaimana yang diatur dalam Pasal 67 merupakan pidana mati yang selalu diancamkan secara alternatif. 

Pada bagian penjelasan Pasal 67 juga diatur bahwa tindak pidana yang bisa diancam dengan pidana yang bersifat khusus adalah tindak pidana yang sangat serus atau yang luar biasa, anatara lain tindak pidana narkotika, terorisme, korupsi, dan tindak pidana berat terhadap hak asasi manusia.","'Bagaimana KUHP mengatur mengenai pidana khusus?',"
46,Peradilan Pidana Khusus,Bagaimana ketentuan mengenai tindak pidana korupsi diatur dalam pidana khusus menurut KUHP?,"Ketentuan tindak pidana korupsi (TIpikor) mencabut ketentuan Pasal 2 ayat (1), Pasal 3, Pasal 5, Pasal 11 dan Pasal 13 UU No.31 Tahun 1999 jo. UU No.20 Tahun 2001 tentang Pemberantasan Tindak Pidana Korupsi (â€œUU Tipikorâ€). Sehingga pengaturannya di KUHP baru menjadi ketentuan sebagaimana Pasal 603 sampai dengan Pasal 606 UU 1/2023.

Pasal 603:
Setiap orang yang secara melawan hukum melakukan perbuatan memperkaya diri sendiri, orang lain, atau korporasi yang merugikan keuangan negara atau perekonomian negara. dengan pidana penjara seumur hidup atau pidana penjara paling singkat 2 (dua) tahun dan paling lama 20 (dua puluh) tahun dan Denda paling sedikit kategori II (Rp10.000.000,00) dan paling banyak kategori IV (Rp2.000.000.000,00).

Pasal 604:
Setiap Orang yang dengan tujuan menguntungkan diri sendiri, orang lain, atau Korporasi menyalahgunakan kewenangan, kesempatan, atau sarana yang ada padanya karena jabatan atau kedudukan yang merugikan keuangan negara atau perekonomian negara, dipidana dengan pidana penjara seumur hidup atau pidana penjara paling singkat 2 (dua) tahun dan paling lama 20 (dua puluh) tahun dan pidana denda paling sedikit kategori II dan paling banyak kategori VI.

Pasal 605:
(1) Dipidana dengan pidana penjara paling singkat 1 (satu) tahun dan paling lama 5 (lima) tahun dan pidana denda paling sedikit kategori III dan paling banyak kategori V, Setiap Orang yang:
   a. memberi atau menjanjikan sesuatu kepada pegawai negeri atau penyelenggara negara dengan maksud supaya pegawai negeri atau penyelenggara negara tersebut berbuat atau tidak berbuat sesuatu dalam jabatannya, yang bertentangan dengan kewajibannya; atau
   b. memberi sesuatu kepada pegawai negeri atau penyelenggara negara karena atau berhubungan dengan sesuatu yang bertentangan dengan kewajiban, yang dilakukan atau tidak dilakukan dalam jabatannya.
(2) Pegawai negeri atau penyelenggara negara yang menerima pemberian atau janji sebagaimana dimaksud pada ayat (l), dipidana dengan pidana penjara paling singkat 1 (satu) tahun dan paling lama 6 (enam) tahun dan pidana denda paling sedikit kategori III dan paling banyak kategori V.

Pasal 606:
(1) Setiap Orang yang memberikan hadiah atau janji kepada pegawai negeri atau penyelenggara negara dengan mengingat kekuasaan atau wewenang yang melekat pada jabatan atau kedudukannya, atau oleh pemberi hadiah atau janji dianggap melekat pada jabatan atau kedudukan tersebut, dipidana dengan pidana penjara paling lama 3 (tiga) tahun dan pidana denda paling banyak kategori IV.
(2) Pegawai negeri atau penyelenggara negara yang menerima hadiah atau janji sebagaimana dimaksud pada ayat (1), dipidana dengan pidana penjara paling lama 4 (empat) tahun dan pidana denda paling banyak kategori IV.","'Bagaimana ketentuan mengenai tindak pidana korupsi diatur dalam pidana khusus menurut KUHP?',"
47,Tindak Pidana Khusus,Bagaimana KUHP mengatur tindak pidana narkotika?,Tindak pidana narkotika diatur dari Pasal 609 sampai Pasal 611 dalam KUHP baru (UU no. 1/2023).,"'Bagaimana KUHP mengatur tindak pidana narkotika?',"
48,Tindak Pidana Khusus,Bagaimana KUHP ini mengatur tindak pidana perdagangan orang?,"Ketentuan mengenai larangan perdagangan orang pada dasarnya telah diatur di dalam Kitab Undang-Undang Hukum Pidana (KUHP) Pasal 455 UU 1/2023.

Pasal 455:
(1)  Setiap Orang yang melakukan perekrutan, pengangkutan, penampungan, pengiriman, pemindahan, atau penerimaan seseorang dengan Ancaman Kekerasan, penggunaan Kekerasan, penculikan, penyekapan, pemalsuan, penipuan, penyalahgunaan kekuasaan atau posisi rentan, penjeratan utang, atau memberi bayaran atau manfaat walaupun memperoleh persetujuan dari orang yang memegang kendali atas orang lain, untuk tujuan mengeksploitasi orang tersebut di wilayah Negara Kesatuan Republik Indonesia, dipidana karena melakukan Tindak Pidana perdagangan orang, dengan pidana penjara paling singkat 3 (tiga) tahun dan paling lama 15 (lima belas) tahun dan pidana denda paling sedikit kategori IV dan paling banyak kategori VII.
(2) Jika perbuatan sebagaimana dimalsud pada ayat (1) mengakibatkan orang tereksploitasi, pelaku dipidana dengan pidana yang sama.","'Bagaimana KUHP ini mengatur tindak pidana perdagangan orang?',"
49,Tindak Pidana Khusus,Bagaimana KUHP ini mengatur tindak pidana pencucian uang?,"Kitab Undang-Undang Hukum Pidana (KUHP) Indonesia mengatur tindak pidana pencucian uang dalam beberapa pasal yang secara khusus menangani tindakan yang berhubungan dengan aktivitas pencucian uang. Namun, pengaturan yang lebih rinci mengenai tindak pidana pencucian uang terdapat dalam Undang-Undang Nomor 8 Tahun 2010 tentang Pencegahan dan Pemberantasan Tindak Pidana Pencucian Uang (UU TPPU).

KUHP sendiri mungkin hanya memberikan landasan umum mengenai tindak pidana terkait kekayaan dan keuangan, namun UU TPPU memberikan kerangka hukum yang komprehensif untuk menangani, mencegah, dan memberantas pencucian uang di Indonesia.","'Bagaimana KUHP ini mengatur tindak pidana pencucian uang?',"
50,,Sebutkan kasus pidana yang termasuk ke dalam pidana khusus,"Berikut merupakan beberapa kasus tindak pidana yang termasuk ke dalam tindak pidana khusus:
- KDRT (Kekerasan Dalam Rumah Tangga).
- Kejahatan hak cipta.
- Kehutanan.
- Uang palsu.
- Kejahatan merek.
- Perbankan.
- Perdagangan orang.
- Praperadilan jinayat.
- Penistaan.
- Senjata api.
- Mata uang.
- Pornografi.
- Pengelolaan wilayah pesisir.
- Narkotika dan psikotropika.
- Terorisme.
- Lingkungan hidup.
- Penempatan dan perlindungan TKI (Tenaga Kerja Indonesia).
- Minyak dan Gas (Migas).
- Konservasi SDA.
- Farmasi.
- Ilegal logging.
- Pencurian uang.
- Korupsi.
- Penyiaran.
- Ketenagalistrikan.
- Perlindungan konsumen.
- Pertambangan.
- Cukai.
- ITE.
- Perpajakan.
- Perkeretaapian.
- Perumahan dan pemukiman.
- Pelayaran.
- HAM.
- Anak.
- Peradilan anak ABH.
- Rahasia dagang.
- Ketenagakerjaan.
- Pemilu",
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,